Date,GDP,Gross Capital Formation,Investment,Exports of Goods and Services,Imports of Goods and Services,Government Consumption Expenditure
31/12/1970,62422483055,11368032257,18.21143873,3.782825062,3.878944276,8.947244134
31/12/1971,67350988021,12933824939,19.20361574,3.667205217,4.002401341,9.673793144
31/12/1972,71463193831,13969933808,19.54843194,4.027489262,3.708910336,9.334214959
31/12/1973,85515269585,15992004172,18.70075865,4.208763192,4.723332826,8.407361533
31/12/1974,99525899116,22404790270,22.51151757,4.831321003,6.02056925,8.640640884
31/12/1975,98472796457,19246612709,19.54510626,5.647062158,6.646916056,9.487656216
31/12/1976,1.02717E+11,19946925515,19.41927196,6.686512862,6.114690211,9.779753316
31/12/1977,1.21487E+11,25628494844,21.09561255,6.383171814,6.264929324,9.209771941
31/12/1978,1.373E+11,31099506487,22.65072075,6.314825235,6.588186608,9.439608621
31/12/1979,1.52992E+11,36098957100,23.59537674,6.749638157,8.169166374,9.894732025
31/12/1980,1.86325E+11,36435927668,19.55500345,6.139551132,9.245025716,9.651880609
31/12/1981,1.93491E+11,49456466218,25.56013763,5.936026627,8.571238135,9.626165893
31/12/1982,2.00715E+11,50448134655,25.13419431,5.983299849,8.142627901,10.17257278
31/12/1983,2.18262E+11,45921448421,21.03957212,5.837629424,7.852964463,10.09112099
31/12/1984,2.12158E+11,49414659663,23.2914173,6.283401393,7.725974551,10.35591089
31/12/1985,2.32512E+11,61490270023,26.4460769,5.254554996,7.645481198,10.93019263
31/12/1986,2.48986E+11,64899902261,26.06568394,5.19622166,7.023050239,11.55025711
31/12/1987,2.79034E+11,72066370150,25.82713131,5.604580884,6.980233152,11.92901342
31/12/1988,2.96589E+11,77951402941,26.28263499,6.035219755,7.455230361,11.60436023
31/12/1989,2.96042E+11,79520046252,26.86103691,7.016130278,8.152001813,11.5637623
31/12/1990,3.20979E+11,87743461242,27.3361977,7.053350234,8.452911276,11.2854919
31/12/1991,2.70105E+11,67905847732,25.14050528,8.494240771,8.493485781,11.07872625
31/12/1992,2.88208E+11,79084981690,27.44020416,8.842926925,9.590172117,10.91504648
31/12/1993,2.79296E+11,63446031125,22.71641051,9.834217455,9.817322332,11.00266504
31/12/1994,3.27276E+11,86106751122,26.31016655,9.888084916,10.19005946,10.43581347
31/12/1995,3.60282E+11,1.05031E+11,29.15233715,10.84396803,12.02348067,10.54026752
31/12/1996,3.92897E+11,89420435339,22.75925318,10.38516927,11.5443186,10.33088968
31/12/1997,4.15868E+11,1.06848E+11,25.69273291,10.69071732,11.92866955,11.0287262
31/12/1998,4.21351E+11,1.05234E+11,24.97536994,11.01846918,12.6810009,11.90988981
31/12/1999,4.5882E+11,1.42042E+11,30.95808797,11.45206461,13.36353343,12.17548961
31/12/2000,4.68395E+11,1.20271E+11,25.67731668,12.99723631,13.9036866,11.94783547
31/12/2001,4.85441E+11,1.45185E+11,29.90788898,12.55837963,13.43487512,11.76144989
31/12/2002,5.14938E+11,1.55775E+11,30.25130012,14.26438392,15.24427901,11.31409507
31/12/2003,6.07699E+11,1.87413E+11,30.83969994,14.94791386,15.64452227,10.87620991
31/12/2004,7.09149E+11,2.48886E+11,35.0964917,17.85912496,19.6446891,10.40470235
31/12/2005,8.20382E+11,3.07055E+11,37.42826402,19.60524669,22.39642292,10.3661402
31/12/2006,9.4026E+11,3.66687E+11,38.99850637,21.26794142,24.45653908,9.802470468
31/12/2007,1.21674E+12,5.1043E+11,41.95079823,20.79969975,24.88656893,9.862115728
31/12/2008,1.1989E+12,4.60645E+11,38.42241965,24.09735726,29.27086318,10.53848116
31/12/2009,1.34189E+12,5.26782E+11,39.25679176,20.40051937,25.87235027,11.45966742
31/12/2010,1.67562E+12,6.66654E+11,39.78562417,22.40093325,26.85427325,11.00760787
31/12/2011,1.82305E+12,7.21753E+11,39.59042144,24.54041132,31.08346869,11.08446159
31/12/2012,1.82764E+12,7.00852E+11,38.34741567,24.53443066,31.25929106,10.68385623
31/12/2013,1.85672E+12,6.31716E+11,34.02320208,25.4308613,28.41327065,10.29516014
31/12/2014,2.03913E+12,6.98764E+11,34.26780562,22.96796301,25.95422274,10.44085681
31/12/2015,2.10359E+12,6.75604E+11,32.11673014,19.81318916,22.10972471,10.42829071
31/12/2016,2.2948E+12,6.92402E+11,30.17269167,19.15823491,20.9242508,10.30854807
31/12/2017,2.65147E+12,8.21484E+11,30.98217576,18.79176484,21.95073212,10.76719895
31/12/2018,2.70293E+12,8.74214E+11,32.34321821,19.9278286,23.68914073,10.82321853
31/12/2019,2.83155E+12,8.55724E+11,30.22101732,18.69098271,21.27154523,10.96332385
31/12/2020,2.66769E+12,7.44186E+11,27.8963067,18.70889869,19.09645489,12.0867651
31/12/2021,3.1763E+12,9.90505E+11,31.18427721,21.39853422,23.89173153,11.12997106
